,source_image,source_mask,target_image,target_mask
0,/home/data/exports/multiomics/hes_scans/segmented_images/004 HE R1_4.vsi - 20x_04.tif,/home/data/exports/multiomics/hes_scans/masks/004 HE R1_4.vsi - 20x_04.tif,/home/data/exports/multiomics/spatial_transcriptomics/segmented_images/004_ST_V19S23_108_4_04.tif,/home/data/exports/multiomics/spatial_transcriptomics/masks/004_ST_V19S23_108_4_04.tif
1,/home/data/exports/multiomics/spatial_transcriptomics/segmented_images/004_ST_V19S23_108_4_04.tif,/home/data/exports/multiomics/spatial_transcriptomics/masks/004_ST_V19S23_108_4_04.tif,/home/data/exports/multiomics/hes_scans/peptides/segmented_images/004_MP_F3.vsi - 20x_BF_04.tif,/home/data/exports/multiomics/hes_scans/peptides/masks/004_MP_F3.vsi - 20x_BF_04.tif
2,/home/data/exports/multiomics/hes_scans/peptides/segmented_images/004_MP_F3.vsi - 20x_BF_04.tif,/home/data/exports/multiomics/hes_scans/peptides/masks/004_MP_F3.vsi - 20x_BF_04.tif,/home/data/exports/multiomics/hes_scans/segmented_images/004 M+ V6 HES.vsi - 20x_BF_04.tif,/home/data/exports/multiomics/hes_scans/masks/004 M+ V6 HES.vsi - 20x_BF_04.tif
3,/home/data/exports/multiomics/hes_scans/segmented_images/004 M+ V6 HES.vsi - 20x_BF_04.tif,/home/data/exports/multiomics/hes_scans/masks/004 M+ V6 HES.vsi - 20x_BF_04.tif,/home/data/exports/multiomics/hes_scans/segmented_images/004 M- V7 HES.vsi - 20x_BF_04.tif,/home/data/exports/multiomics/hes_scans/masks/004 M- V7 HES.vsi - 20x_BF_04.tif
4,/home/data/exports/multiomics/hes_scans/segmented_images/004 M- V7 HES.vsi - 20x_BF_04.tif,/home/data/exports/multiomics/hes_scans/masks/004 M- V7 HES.vsi - 20x_BF_04.tif,/home/data/exports/multiomics/mts/segmented_images/004 MM V8_01.vsi - 20x_BF_04.tif,/home/data/exports/multiomics/mts/masks/004 MM V8_01.vsi - 20x_BF_04.tif
5,/home/data/exports/multiomics/mts/segmented_images/004 MM V8_01.vsi - 20x_BF_04.tif,/home/data/exports/multiomics/mts/masks/004 MM V8_01.vsi - 20x_BF_04.tif,/home/data/exports/multiomics/ihc/lps/segmented_images/004_LPS_F9_094427_202205.vsi - 40x_BF_04.tif,/home/data/exports/multiomics/ihc/lps/masks/004_LPS_F9_094427_202205.vsi - 40x_BF_04.tif
6,/home/data/exports/multiomics/ihc/lps/segmented_images/004_LPS_F9_094427_202205.vsi - 40x_BF_04.tif,/home/data/exports/multiomics/ihc/lps/masks/004_LPS_F9_094427_202205.vsi - 40x_BF_04.tif,/home/data/exports/multiomics/ihc/lta/segmented_images/004_LTA_F10_095800_202205.vsi - old_05 40x_BF_04.tif,/home/data/exports/multiomics/ihc/lta/masks/004_LTA_F10_095800_202205.vsi - old_05 40x_BF_04.tif
7,/home/data/exports/multiomics/ihc/lta/segmented_images/004_LTA_F10_095800_202205.vsi - old_05 40x_BF_04.tif,/home/data/exports/multiomics/ihc/lta/masks/004_LTA_F10_095800_202205.vsi - old_05 40x_BF_04.tif,/home/data/exports/multiomics/hes_scans/segmented_images/004 HE R11_4.vsi - 20x_04.tif,/home/data/exports/multiomics/hes_scans/masks/004 HE R11_4.vsi - 20x_04.tif
8,/home/data/exports/multiomics/hes_scans/segmented_images/004 HE R11_4.vsi - 20x_04.tif,/home/data/exports/multiomics/hes_scans/masks/004 HE R11_4.vsi - 20x_04.tif,/home/data/exports/multiomics/hes_scans/segmented_images/004 HE R21_4.vsi - 20x_04.tif,/home/data/exports/multiomics/hes_scans/masks/004 HE R21_4.vsi - 20x_04.tif
9,/home/data/exports/multiomics/hes_scans/segmented_images/003 HE R1_2.vsi - 20x_02.tif,/home/data/exports/multiomics/hes_scans/masks/003 HE R1_2.vsi - 20x_02.tif,/home/data/exports/multiomics/spatial_transcriptomics/segmented_images/003_ST_V19S23_107_2_02.tif,/home/data/exports/multiomics/spatial_transcriptomics/masks/003_ST_V19S23_107_2_02.tif
10,/home/data/exports/multiomics/spatial_transcriptomics/segmented_images/003_ST_V19S23_107_2_02.tif,/home/data/exports/multiomics/spatial_transcriptomics/masks/003_ST_V19S23_107_2_02.tif,/home/data/exports/multiomics/hes_scans/peptides/segmented_images/003_MP_F3.vsi - 20x_BF_02.tif,/home/data/exports/multiomics/hes_scans/peptides/masks/003_MP_F3.vsi - 20x_BF_02.tif
11,/home/data/exports/multiomics/hes_scans/peptides/segmented_images/003_MP_F3.vsi - 20x_BF_02.tif,/home/data/exports/multiomics/hes_scans/peptides/masks/003_MP_F3.vsi - 20x_BF_02.tif,/home/data/exports/multiomics/hes_scans/segmented_images/003 M+ V6 HES.vsi - 20x_BF_02.tif,/home/data/exports/multiomics/hes_scans/masks/003 M+ V6 HES.vsi - 20x_BF_02.tif
12,/home/data/exports/multiomics/hes_scans/segmented_images/003 M+ V6 HES.vsi - 20x_BF_02.tif,/home/data/exports/multiomics/hes_scans/masks/003 M+ V6 HES.vsi - 20x_BF_02.tif,/home/data/exports/multiomics/hes_scans/segmented_images/003 M- V7 HES.vsi - 20x_BF_02.tif,/home/data/exports/multiomics/hes_scans/masks/003 M- V7 HES.vsi - 20x_BF_02.tif
