batch,pair,source_name,target_name,cost_9,angle_9,cost_16,angle_16,cost_32,angle_32,cost_64,angle_64,cost_128,angle_128,cost_196,angle_196,cost_256,angle_256,cost_384,angle_384,cost_512,angle_512,angle_global,cost_global
003_03,1,003 HE R1_3.vsi - 20x_03.tif,003_ST_V19S23_107_3_03.tif,-0.08277738839387894,0,-0.12232377380132675,0,-0.1797710657119751,0,-0.24550217390060425,270,-0.3455846309661865,271,-0.4997777044773102,303,-0.5953637361526489,303,-0.7263296246528625,306,-0.7741566300392151,306,306.0,-0.71296226978302
003_03,2,003_ST_V19S23_107_3_03.tif,003_MP_F3.vsi - 20x_BF_03.tif,-0.07662714272737503,0,-0.11652477085590363,0,-0.16319696605205536,0,-0.20241330564022064,90,-0.25780850648880005,90,-0.34558382630348206,80,-0.4447079002857208,78,-0.5908099412918091,252,-0.6614521741867065,70,60.0,-0.5838717222213745
003_03,3,003_MP_F3.vsi - 20x_BF_03.tif,003 M+ V6 HES.vsi - 20x_BF_03.tif,-0.07103788107633591,0,-0.116450235247612,0,-0.16347330808639526,0,-0.20977100729942322,90,-0.2936325669288635,90,-0.38597968220710754,91,-0.4944564998149872,109,-0.6406864523887634,247,-0.7079929709434509,173,140.0,-0.6571701765060425
003_03,4,003 M+ V6 HES.vsi - 20x_BF_03.tif,003 M- V7 HES.vsi - 20x_BF_03.tif,-0.08129261434078217,0,-0.12979041039943695,0,-0.20051099359989166,0,-0.2875944972038269,0,-0.44695478677749634,15,-0.595219075679779,15,-0.7151705622673035,15,-0.8356478214263916,15,-0.8710444569587708,15,15.0,-0.8089282512664795
003_03,5,003 M- V7 HES.vsi - 20x_BF_03.tif,003 MM V8_01.vsi - 20x_BF_03.tif,-0.0741066187620163,0,-0.12068396806716919,0,-0.17085212469100952,0,-0.210016131401062,0,-0.2690469026565552,270,-0.3316550850868225,271,-0.4198637306690216,33,-0.5717644095420837,252,-0.6342046856880188,234,233.0,-0.5590164661407471
003_03,6,003 MM V8_01.vsi - 20x_BF_03.tif,003_LPS_F9_094304_202205.vsi - 40x_BF_03.tif,-0.07623594999313354,0,-0.13170433044433594,0,-0.20341143012046814,0,-0.26148363947868347,0,-0.29809117317199707,270,-0.36716243624687195,37,-0.457722008228302,38,-0.5798503160476685,37,-0.6409648060798645,38,38.0,-0.6303929686546326
003_03,7,003_LPS_F9_094304_202205.vsi - 40x_BF_03.tif,003_LTA_F10_095615_202205.vsi - 40x_BF_03.tif,-0.06810391694307327,0,-0.12542563676834106,0,-0.19520020484924316,0,-0.23815327882766724,0,-0.2631106972694397,270,-0.2954234480857849,277,-0.3724318742752075,281,-0.4584466516971588,298,-0.5217464566230774,281,281.0,-0.5030759572982788
003_03,8,003_LTA_F10_095615_202205.vsi - 40x_BF_03.tif,003 HE R11_3.vsi - 20x_03.tif,-0.06836675107479095,0,-0.11453896760940552,0,-0.16659049689769745,0,-0.20613257586956024,90,-0.25393617153167725,181,-0.29513388872146606,170,-0.371345192193985,173,-0.45184871554374695,252,-0.5330401062965393,65,312.0,-0.49543696641921997
003_03,9,003 HE R11_3.vsi - 20x_03.tif,003 HE R21_3.vsi - 20x_03.tif,-0.08320021629333496,0,-0.1270749419927597,0,-0.18216466903686523,0,-0.25746026635169983,180,-0.38489580154418945,179,-0.5010501146316528,42,-0.609146237373352,42,-0.7475264668464661,43,-0.7959170341491699,42,42.0,-0.7238507866859436
046_02,1,046 HE R1_1.vsi - 20x_02.tif,046_ST_V10A20_011_2_02.tif,-0.0947059839963913,0,-0.13550713658332825,0,-0.1892443299293518,0,-0.25510746240615845,180,-0.3648824989795685,179,-0.4871576726436615,166,-0.5796507596969604,165,-0.6471682786941528,124,-0.7232046127319336,157,157.0,-0.6665419340133667
046_02,2,046_ST_V10A20_011_2_02.tif,046_MP_F3.vsi - 20x_BF_02.tif,-0.08696286380290985,0,-0.1318487524986267,0,-0.1825551986694336,0,-0.2203182727098465,0,-0.2612573206424713,0,-0.3537445366382599,355,-0.44527992606163025,98,-0.5493829250335693,328,-0.6219668984413147,103,105.0,-0.5681264400482178
046_02,3,046_MP_F3.vsi - 20x_BF_02.tif,046 M+ V6 HES.vsi - 20x_BF_02.tif,-0.08432889729738235,0,-0.12972451746463776,0,-0.1773417890071869,0,-0.2210889607667923,0,-0.2703315019607544,270,-0.3458227217197418,271,-0.43006792664527893,300,-0.5979979038238525,299,-0.6433649063110352,300,303.0,-0.5860989093780518
