batch,pair,source_name,target_name,cost_9,angle_9,cost_16,angle_16,cost_32,angle_32,cost_64,angle_64,cost_128,angle_128,cost_196,angle_196,cost_256,angle_256,cost_384,angle_384,cost_512,angle_512,angle_global,cost_global
003_03,1,003 HE R1_3.vsi - 20x_03.tif,003_ST_V19S23_107_3_03.tif,-0.11998876929283142,146,-0.07474596053361893,113,-0.07201653718948364,119,-0.1457899957895279,151,-0.31893524527549744,60,-0.4984447658061981,60,-0.5893052816390991,47,-0.7293387651443481,60,-0.7760769724845886,58,58.0,-0.7457764744758606
003_03,2,003_ST_V19S23_107_3_03.tif,003_MP_F3.vsi - 20x_BF_03.tif,-0.10761204361915588,97,-0.06300794333219528,93,-0.04238719865679741,94,-0.06575853377580643,91,-0.1914626657962799,95,-0.3130941390991211,98,-0.42384713888168335,97,-0.563239336013794,95,-0.6414266228675842,95,95.0,-0.61846923828125
003_03,3,003_MP_F3.vsi - 20x_BF_03.tif,003 M+ V6 HES.vsi - 20x_BF_03.tif,-0.10978242754936218,170,-0.06192728132009506,170,-0.033486057072877884,251,-0.051994018256664276,231,-0.18758708238601685,250,-0.34694337844848633,231,-0.4590357840061188,232,-0.6033100485801697,179,-0.6750358939170837,179,179.0,-0.6588695645332336
003_03,4,003 M+ V6 HES.vsi - 20x_BF_03.tif,003 M- V7 HES.vsi - 20x_BF_03.tif,-0.14456719160079956,346,-0.10685043036937714,346,-0.12634558975696564,346,-0.23100587725639343,346,-0.4452957510948181,346,-0.5948092341423035,345,-0.705835223197937,346,-0.8162328004837036,345,-0.8481006026268005,346,346.0,-0.8205986022949219
003_03,5,003 M- V7 HES.vsi - 20x_BF_03.tif,003 MM V8_01.vsi - 20x_BF_03.tif,-0.10596367716789246,15,-0.06629897654056549,21,-0.039274588227272034,18,-0.054687559604644775,322,-0.14536449313163757,323,-0.27036869525909424,110,-0.3747546374797821,288,-0.5067070126533508,295,-0.586277186870575,323,323.0,-0.5846637487411499
003_03,6,003 MM V8_01.vsi - 20x_BF_03.tif,003_LPS_F9_094304_202205.vsi - 40x_BF_03.tif,-0.10533910989761353,312,-0.06509365141391754,312,-0.05136319249868393,312,-0.09055864810943604,311,-0.2583424746990204,322,-0.40330639481544495,321,-0.49115949869155884,322,-0.596483051776886,322,-0.641836941242218,322,322.0,-0.6771823763847351
003_03,7,003_LPS_F9_094304_202205.vsi - 40x_BF_03.tif,003_LTA_F10_095615_202205.vsi - 40x_BF_03.tif,-0.09319649636745453,38,-0.06216968223452568,102,-0.05644458532333374,103,-0.08580007404088974,102,-0.2072221338748932,102,-0.32531872391700745,103,-0.39235129952430725,88,-0.4929050803184509,91,-0.5376039147377014,81,81.0,-0.5815369486808777
003_03,8,003_LTA_F10_095615_202205.vsi - 40x_BF_03.tif,003 HE R11_3.vsi - 20x_03.tif,-0.09817466884851456,308,-0.06361939013004303,330,-0.04806986451148987,330,-0.07016851752996445,162,-0.15806207060813904,178,-0.2812976837158203,162,-0.3432174623012543,162,-0.42686739563941956,113,-0.48355960845947266,305,305.0,-0.49236494302749634
003_03,9,003 HE R11_3.vsi - 20x_03.tif,003 HE R21_3.vsi - 20x_03.tif,-0.130527526140213,318,-0.08804399520158768,324,-0.08880501240491867,321,-0.17207735776901245,321,-0.34705954790115356,321,-0.4863473176956177,323,-0.584520161151886,323,-0.677665114402771,61,-0.7415887713432312,319,319.0,-0.6997249126434326
046_02,1,046 HE R1_1.vsi - 20x_02.tif,046_ST_V10A20_011_2_02.tif,-0.13539835810661316,53,-0.09855780005455017,53,-0.09735984355211258,205,-0.17537491023540497,234,-0.335448294878006,237,-0.45825016498565674,235,-0.5475943088531494,235,-0.6209070086479187,235,-0.6800817847251892,235,235.0,-0.6636679768562317
