batch,pair,source_name,target_name,cost_9,angle_9,cost_16,angle_16,cost_32,angle_32,cost_64,angle_64,cost_128,angle_128,cost_196,angle_196,cost_256,angle_256,cost_384,angle_384,cost_512,angle_512,angle_global,cost_global
003_03,1,003 HE R1_3.vsi - 20x_03.tif,003_ST_V19S23_107_3_03.tif,-0.1199224665760994,146,-0.07459518313407898,113,-0.07149511575698853,119,-0.1447232961654663,151,-0.31695085763931274,58,-0.49542179703712463,60,-0.5864741802215576,47,-0.7256301641464233,60,-0.7733290195465088,58,58.0,-0.7430205345153809
003_03,2,003_ST_V19S23_107_3_03.tif,003_MP_F3.vsi - 20x_BF_03.tif,-0.10761204361915588,97,-0.06300794333219528,93,-0.04238719865679741,94,-0.06575853377580643,91,-0.1914626657962799,95,-0.3130941390991211,98,-0.42384713888168335,97,-0.563239336013794,95,-0.6414266228675842,95,95.0,-0.61846923828125
003_03,3,003_MP_F3.vsi - 20x_BF_03.tif,003 M+ V6 HES.vsi - 20x_BF_03.tif,-0.10982602834701538,170,-0.06199085712432861,170,-0.03358985483646393,251,-0.05181615427136421,231,-0.18718130886554718,250,-0.34596574306488037,231,-0.4576658606529236,232,-0.6013889908790588,179,-0.6735811829566956,179,179.0,-0.6573172807693481
003_03,4,003 M+ V6 HES.vsi - 20x_BF_03.tif,003 M- V7 HES.vsi - 20x_BF_03.tif,-0.14477461576461792,346,-0.1069478690624237,346,-0.12590713798999786,346,-0.22820010781288147,346,-0.4378209412097931,346,-0.5853651165962219,346,-0.6951270699501038,346,-0.8053464293479919,346,-0.839398205280304,346,346.0,-0.8113857507705688
003_03,5,003 M- V7 HES.vsi - 20x_BF_03.tif,003 MM V8_01.vsi - 20x_BF_03.tif,-0.10633469372987747,15,-0.06641440838575363,21,-0.039231542497873306,18,-0.054629430174827576,322,-0.14473599195480347,323,-0.2689300775527954,110,-0.3729376494884491,288,-0.5037979483604431,295,-0.5841042399406433,323,323.0,-0.5825067758560181
003_03,6,003 MM V8_01.vsi - 20x_BF_03.tif,003_LPS_F9_094304_202205.vsi - 40x_BF_03.tif,-0.10533910989761353,312,-0.06509365141391754,312,-0.05136319249868393,312,-0.09055864810943604,311,-0.2583424746990204,322,-0.40330639481544495,321,-0.49115949869155884,322,-0.596483051776886,322,-0.641836941242218,322,322.0,-0.6771823763847351
003_03,7,003_LPS_F9_094304_202205.vsi - 40x_BF_03.tif,003_LTA_F10_095615_202205.vsi - 40x_BF_03.tif,-0.09319649636745453,38,-0.06216968223452568,102,-0.05644458532333374,103,-0.08580007404088974,102,-0.2072221338748932,102,-0.32531872391700745,103,-0.39235129952430725,88,-0.4929050803184509,91,-0.5376039147377014,81,81.0,-0.5815369486808777
003_03,8,003_LTA_F10_095615_202205.vsi - 40x_BF_03.tif,003 HE R11_3.vsi - 20x_03.tif,-0.09828916192054749,308,-0.06372356414794922,330,-0.04811758175492287,330,-0.07036890089511871,162,-0.15804333984851837,178,-0.28081467747688293,162,-0.3421412706375122,162,-0.4248329699039459,113,-0.48162901401519775,304,305.0,-0.4903932511806488
003_03,9,003 HE R11_3.vsi - 20x_03.tif,003 HE R21_3.vsi - 20x_03.tif,-0.13020585477352142,318,-0.08757452666759491,324,-0.08791179955005646,321,-0.17007973790168762,321,-0.34261053800582886,321,-0.4801931381225586,323,-0.5775086283683777,324,-0.6682034730911255,61,-0.7334473729133606,320,320.0,-0.6915546655654907
046_02,1,046 HE R1_1.vsi - 20x_02.tif,046_ST_V10A20_011_2_02.tif,-0.1811736524105072,79,-0.15996430814266205,78,-0.20458950102329254,79,-0.32273539900779724,79,-0.5195068120956421,79,-0.6674696803092957,79,-0.734534740447998,79,-0.784835159778595,79,-0.8352606296539307,79,79.0,-0.8369867205619812
046_02,2,046_ST_V10A20_011_2_02.tif,046_MP_F3.vsi - 20x_BF_02.tif,-0.12210134416818619,91,-0.07780803740024567,229,-0.05861438065767288,235,-0.08875339478254318,225,-0.21795734763145447,262,-0.3506544232368469,255,-0.4461888074874878,261,-0.5555890202522278,252,-0.6125469207763672,261,261.0,-0.6070886850357056
046_02,3,046_MP_F3.vsi - 20x_BF_02.tif,046 M+ V6 HES.vsi - 20x_BF_02.tif,-0.12097461521625519,357,-0.07786187529563904,353,-0.051952965557575226,353,-0.0703488364815712,184,-0.1764727681875229,60,-0.3040902614593506,60,-0.3886577785015106,61,-0.5108887553215027,55,-0.5875003933906555,60,60.0,-0.5805983543395996
046_02,4,046 M+ V6 HES.vsi - 20x_BF_02.tif,046 M- V7 HES.vsi - 20x_BF_02.tif,-0.1395961046218872,47,-0.10033516585826874,47,-0.09321436285972595,47,-0.16118919849395752,47,-0.3130451440811157,47,-0.4285598695278168,47,-0.5020360946655273,47,-0.5920911431312561,47,-0.653403103351593,47,47.0,-0.6448296308517456
046_02,5,046 M- V7 HES.vsi - 20x_BF_02.tif,046 MM V8_01.vsi - 20x_BF_02.tif,-0.12142457067966461,105,-0.08336097002029419,105,-0.06042883172631264,101,-0.08199810981750488,101,-0.19099734723567963,100,-0.3119032680988312,105,-0.39280688762664795,101,-0.5274744033813477,101,-0.5664046406745911,102,102.0,-0.5693215131759644
046_02,6,046 MM V8_01.vsi - 20x_BF_02.tif,046_LPS_F9_094744_202205.vsi - 40x_BF_02.tif,-0.14813117682933807,117,-0.12456867843866348,117,-0.1451968252658844,117,-0.23871752619743347,117,-0.44017231464385986,117,-0.5551422834396362,117,-0.6528418660163879,117,-0.7102779746055603,117,-0.7663522362709045,116,116.0,-0.7880116701126099
046_02,7,046_LPS_F9_094744_202205.vsi - 40x_BF_02.tif,046_LTA_F10_100202_202205.vsi - 40x_BF_02.tif,-0.1588898003101349,72,-0.14350132644176483,72,-0.17804114520549774,72,-0.2715587913990021,72,-0.458204448223114,72,-0.5933809876441956,72,-0.6727526187896729,72,-0.7164216637611389,72,-0.7656204700469971,72,72.0,-0.7933955192565918
046_02,8,046_LTA_F10_100202_202205.vsi - 40x_BF_02.tif,046 HE R11_1.vsi - 20x_02.tif,-0.11160802841186523,44,-0.07080256193876266,351,-0.055390432476997375,350,-0.09522835910320282,51,-0.22521701455116272,120,-0.35657787322998047,188,-0.45103201270103455,187,-0.5529564023017883,184,-0.6211283802986145,187,187.0,-0.6262342929840088
046_02,9,046 HE R11_1.vsi - 20x_02.tif,046 HE R21_1.vsi - 20x_02.tif,-0.13752540946006775,217,-0.10394373536109924,217,-0.10383763909339905,221,-0.17690584063529968,220,-0.33723029494285583,17,-0.45796266198158264,19,-0.5527547001838684,18,-0.6323613524436951,31,-0.7139753699302673,31,31.0,-0.6887547969818115
047_02,1,047 HE R1_1.vsi - 20x_02.tif,047_ST_V10A20_007_2_02.tif,-0.14444679021835327,335,-0.1230517327785492,333,-0.16736705601215363,334,-0.29210883378982544,334,-0.5015015602111816,335,-0.6443184018135071,336,-0.736765444278717,335,-0.8313837051391602,336,-0.8668637871742249,335,335.0,-0.8490456342697144
